category,time,layer,mean,sd,se,ci95,N_eff
Seeding,2024-07-01,2024,13.139777242065586,4.293942472767388,0.07510843282698364,0.14721252834088794,3268.39880397358
core,1985-07-01,1985,29.86784676354029,4.652228499595723,0.03381762417369097,0.0662825433804343,18925
core,1986-07-01,1986,30.87878467635403,4.400524147118145,0.031987954114340134,0.06269639006410666,18925
core,1987-07-01,1987,30.962483487450463,4.401049067378523,0.03199176982461493,0.06270386885624525,18925
core,1988-07-01,1988,30.705944517833554,4.2992983680480545,0.03125213141053724,0.061254177564652984,18925
core,1989-07-01,1989,30.096327608982826,4.15431944450209,0.030198261689819577,0.05918859291204637,18925
core,1990-07-01,1990,30.25859973579921,4.130854849651852,0.030027694648647324,0.058854281511348756,18925
core,1991-07-01,1991,30.244755614266843,4.1288068077872415,0.03001280717910979,0.05882510207105519,18925
core,1992-07-01,1992,29.978018494055483,4.345013296418548,0.03158443887714059,0.06190550019919555,18925
core,1993-07-01,1993,29.55001321003963,4.32358654080309,0.03142868514132816,0.061600222877003195,18925
core,1994-07-01,1994,29.558150594451785,4.311857923496598,0.03134342837197935,0.061433119609079524,18925
core,1995-07-01,1995,29.84914134742404,4.394133274796995,0.031941498073258426,0.06260533622358651,18925
core,1996-07-01,1996,30.433870541611626,4.2961993360514725,0.031229604163784043,0.06121002416101672,18925
core,1997-07-01,1997,31.23244385733157,4.032318180746649,0.029311419419119546,0.05745038206147431,18925
core,1998-07-01,1998,31.568243064729195,3.9242262395340806,0.028525685733758008,0.055910344038165694,18925
core,1999-07-01,1999,31.973104359313076,3.903286193067743,0.028373469946928156,0.055612001095979184,18925
core,2000-07-01,2000,31.721743725231175,3.664591050294532,0.026638365441401086,0.05221119626514613,18925
core,2001-07-01,2001,31.531413474240424,3.6745551374452448,0.02671079562287777,0.05235315942084043,18925
core,2002-07-01,2002,31.312073976221928,3.642144013494016,0.026475195155505026,0.05189138250478985,18925
core,2003-07-01,2003,30.6245178335535,3.8901899265483153,0.028278271566351838,0.0554254122700496,18925
core,2004-07-01,2004,29.988586525759576,4.128878752542922,0.03001333015443421,0.05882612710269105,18925
core,2005-07-01,2005,30.10557463672391,4.263656995126333,0.030993049864004026,0.06074637773344789,18925
core,2006-07-01,2006,30.381717305151916,4.202610600397116,0.03054929607282828,0.05987662030274343,18925
core,2007-07-01,2007,30.81014531043593,4.400241462242818,0.0319858992430297,0.06269236251633821,18925
core,2008-07-01,2008,30.76089828269485,4.569498236899969,0.03321624766523296,0.06510384542385661,18925
core,2009-07-01,2009,30.71334214002642,4.564330802977924,0.033178684949142535,0.06503022250031937,18925
core,2010-07-01,2010,30.81770145310436,4.676521304560317,0.03399421157658591,0.06662865469010838,18925
core,2011-07-01,2011,31.37891677675033,4.899140136281802,0.03561245538937317,0.0698004125631714,18925
core,2012-07-01,2012,31.49643328929987,5.1018842245199085,0.03708622723442973,0.07268900537948228,18925
core,2013-07-01,2013,31.16570673712021,5.168112027765684,0.037567645324751264,0.07363258483651247,18925
core,2014-07-01,2014,31.247450462351388,4.926194813822657,0.03580911918550797,0.07018587360359563,18925
core,2015-07-01,2015,31.316354029062087,4.828768398883209,0.035100914529331124,0.068797792477489,18925
core,2016-07-01,2016,31.00332892998679,4.934611486638568,0.035870301020859814,0.07030579000088523,18925
core,2017-07-01,2017,30.78002642007926,4.833899539646525,0.0351382134259634,0.06887089831488825,18925
core,2018-07-01,2018,30.047239101717306,4.904724083858285,0.03565304579471622,0.06987996975764378,18925
core,2019-07-01,2019,28.996089828269486,5.319627965900163,0.03866903341276141,0.07579130548901236,18925
core,2020-07-01,2020,28.783936591809777,5.277310505175513,0.038361422558544876,0.07518838821474795,18925
core,2021-07-01,2021,28.981981505944518,5.271095330034306,0.0383162436819877,0.07509983761669589,18925
core,2022-07-01,2022,28.700132100396303,5.464259315819614,0.0397203765778133,0.07785193809251406,18925
core,2023-07-01,2023,28.038626155878468,5.923991736620068,0.04306222838677796,0.0844019676380848,18925
core,2024-07-01,2024,27.94980184940555,5.888012497689819,0.04280069085045438,0.08388935406689059,18925
